Measure,Industry,Region,Quarter,Value,Flags
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-02",5880,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-01",5100,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-00",5200,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-14",8190,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-14",15850,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-13",7870,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-13",15030,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-12",7770,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-12",15150,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-11",9060,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-11",14020,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-10",8230,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-10",13660,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-09",8050,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-09",13840,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-08",7540,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-08",13230,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-07",7090,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-07",13060,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-06",6210,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-06",12810,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-05",7640,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-05",13550,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-04",7270,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-04",13060,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-03",6830,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-03",13410,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-02",7280,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-02",13970,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-01",6370,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-01",12590,
"Total filled jobs","Agriculture, forestry, and fishing","Bay of Plenty","Mar-00",5960,
"Total filled jobs","Agriculture, forestry, and fishing","Waikato","Mar-00",12190,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-14",10120,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-14",6580,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-14",97280,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-14",4290,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-14",3510,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-13",9820,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-13",92600,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-13",4160,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-13",3350,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-12",9440,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-12",91300,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-12",3940,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-12",3400,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-11",9870,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-11",91070,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-11",3730,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-11",3260,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-10",10020,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-10",89130,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-10",3540,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-10",3140,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-09",10390,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-09",91190,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-09",3760,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-09",3310,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-08",10140,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-08",88550,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-08",4010,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-08",3180,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-07",85880,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-07",9550,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-07",3820,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-07",3220,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-06",83770,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-06",8730,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-06",3940,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-06",3250,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-05",91990,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-05",9190,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-05",4410,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-05",3420,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-04",86790,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-04",9150,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-04",4140,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-04",3350,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-03",84960,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-03",8030,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-03",4410,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-03",3350,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-02",90180,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-02",9270,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-02",4520,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-02",3310,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-01",77600,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-01",7660,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-01",3780,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-01",2780,
"Total filled jobs","Agriculture, forestry, and fishing","Total region","Mar-00",74790,
"Total filled jobs","Agriculture, forestry, and fishing","Hawke's Bay","Mar-00",7780,
"Total filled jobs","Agriculture, forestry, and fishing","Northland","Mar-00",3420,
"Total filled jobs","Agriculture, forestry, and fishing","Taranaki","Mar-00",2610,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-14",1500,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-14",420,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-14",6510,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-14",9780,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-14",7550,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-14",2810,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-14",13370,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-13",1750,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-13",410,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-13",6320,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-13",8850,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-13",7290,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-13",2780,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-13",6180,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-13",12790,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-12",2010,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-12",350,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-12",6450,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-12",8440,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-12",7300,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-12",2740,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-12",6040,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-12",12370,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-11",1830,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-11",350,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-11",6160,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-11",9070,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-11",7050,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-11",2600,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-11",5930,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-11",12010,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-10",1760,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-10",340,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-10",5810,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-10",8830,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-10",7040,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-10",2650,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-10",5570,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-10",11870,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-09",1620,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-09",330,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-09",5990,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-09",10330,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-09",6970,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-09",2610,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-09",5560,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-09",11750,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-08",1310,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-08",310,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-08",5910,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-08",9610,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-08",7030,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-08",2630,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-08",5360,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-08",11460,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-07",1090,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-07",320,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-07",5720,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-07",8830,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-07",7230,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-07",2730,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-07",4890,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-07",10970,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-06",1010,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-06",300,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-06",5450,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-06",8800,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-06",7280,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-06",2720,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-06",4970,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-06",10950,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-05",1020,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-05",320,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-05",6330,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-05",9190,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-05",8000,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-05",3160,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-05",5790,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-05",11790,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-04",680,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-04",370,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-04",5730,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-04",9060,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-04",7120,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-04",2860,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-04",4900,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-04",10820,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-03",700,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-03",300,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-03",5630,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-03",8490,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-03",7250,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-03",2860,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-03",5120,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-03",10380,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-02",690,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-02",620,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-02",330,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-02",6140,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-02",8990,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-02",7840,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-02",3190,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-02",5280,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-02",10600,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-01",760,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-01",840,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-01",330,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-01",4830,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-01",7910,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-01",6660,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-01",2740,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-01",4490,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-01",9260,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-00",890,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Southland","Mar-00",320,
"Total filled jobs","Agriculture, forestry, and fishing","Otago","Mar-00",4520,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Tasman, Nelson, Marlborough, West Coast","Mar-00",700,
"Total filled jobs","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-00",7660,
"Total filled jobs","Agriculture, forestry, and fishing","Manawatu-Wanganui","Mar-00",6390,
"Total filled jobs","Agriculture, forestry, and fishing","Wellington","Mar-00",2600,
"Total filled jobs","Agriculture, forestry, and fishing","Southland","Mar-00",4120,
"Total filled jobs","Agriculture, forestry, and fishing","Canterbury","Mar-00",8870,
"Total filled jobs","Manufacturing","Manawatu-Wanganui","Mar-14",10180,
"Total filled jobs","Manufacturing","Total region","Mar-14",205550,
"Total filled jobs","Manufacturing","Southland","Mar-14",7640,
"Total filled jobs","Manufacturing","Hawke's Bay","Mar-14",9360,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Northland","Mar-14",940,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Bay of Plenty","Mar-14",880,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Total region","Mar-14",19490,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Waikato","Mar-14",3250,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Auckland","Mar-14",4060,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Manawatu-Wanganui","Mar-14",740,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Gisborne","Mar-14",65,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Hawke's Bay","Mar-14",460,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Taranaki","Mar-14",1740,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-14",1210,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Wellington","Mar-14",1890,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Canterbury","Mar-14",2310,
"Total filled jobs","Manufacturing","Total region","Mar-13",202240,
"Total filled jobs","Manufacturing","Southland","Mar-13",7770,
"Total filled jobs","Manufacturing","Manawatu-Wanganui","Mar-13",9960,
"Total filled jobs","Manufacturing","Hawke's Bay","Mar-13",9380,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Northland","Mar-13",950,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Bay of Plenty","Mar-13",870,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Total region","Mar-13",19460,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Waikato","Mar-13",3170,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Auckland","Mar-13",4090,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Manawatu-Wanganui","Mar-13",720,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Gisborne","Mar-13",100,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Hawke's Bay","Mar-13",480,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Taranaki","Mar-13",1770,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-13",1250,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Wellington","Mar-13",1790,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Canterbury","Mar-13",2090,
"Total filled jobs","Manufacturing","Total region","Mar-12",203350,
"Total filled jobs","Manufacturing","Southland","Mar-12",8630,
"Total filled jobs","Manufacturing","Manawatu-Wanganui","Mar-12",9550,
"Total filled jobs","Manufacturing","Hawke's Bay","Mar-12",9450,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Northland","Mar-12",910,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Total region","Mar-12",19150,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Waikato","Mar-12",3140,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Bay of Plenty","Mar-12",830,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Auckland","Mar-12",3690,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Manawatu-Wanganui","Mar-12",720,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Gisborne","Mar-12",95,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Hawke's Bay","Mar-12",550,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Taranaki","Mar-12",1510,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-12",1230,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Wellington","Mar-12",1910,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Canterbury","Mar-12",2230,
"Total filled jobs","Manufacturing","Total region","Mar-11",204250,
"Total filled jobs","Manufacturing","Southland","Mar-11",8400,
"Total filled jobs","Manufacturing","Manawatu-Wanganui","Mar-11",9800,
"Total filled jobs","Manufacturing","Hawke's Bay","Mar-11",9140,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Northland","Mar-11",890,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Total region","Mar-11",18350,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Waikato","Mar-11",3070,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Bay of Plenty","Mar-11",680,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Auckland","Mar-11",3700,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Gisborne","Mar-11",100,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Manawatu-Wanganui","Mar-11",720,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Taranaki","Mar-11",1370,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Hawke's Bay","Mar-11",550,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-11",1190,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Wellington","Mar-11",1730,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Canterbury","Mar-11",2170,
"Total filled jobs","Manufacturing","Total region","Mar-10",206890,
"Total filled jobs","Manufacturing","Southland","Mar-10",8580,
"Total filled jobs","Manufacturing","Manawatu-Wanganui","Mar-10",10070,
"Total filled jobs","Manufacturing","Hawke's Bay","Mar-10",9470,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Northland","Mar-10",860,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Total region","Mar-10",17360,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Waikato","Mar-10",2640,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Bay of Plenty","Mar-10",680,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Auckland","Mar-10",3410,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Gisborne","Mar-10",100,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Manawatu-Wanganui","Mar-10",730,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Taranaki","Mar-10",1520,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Hawke's Bay","Mar-10",560,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Wellington","Mar-10",1760,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Otago","Mar-10",1110,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Canterbury","Mar-10",1890,
"Total filled jobs","Manufacturing","Total region","Mar-09",216600,
"Total filled jobs","Manufacturing","Southland","Mar-09",8870,
"Total filled jobs","Manufacturing","Manawatu-Wanganui","Mar-09",10610,
"Total filled jobs","Manufacturing","Hawke's Bay","Mar-09",10120,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Northland","Mar-09",880,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Total region","Mar-09",17620,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Waikato","Mar-09",2770,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Bay of Plenty","Mar-09",700,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Auckland","Mar-09",3870,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Gisborne","Mar-09",100,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Manawatu-Wanganui","Mar-09",700,
"Total filled jobs","Mining; electricity, gas, water, and waste services","Taranaki","Mar-09",1430,
